date,H_temp,L_temp,daylight_hours(h),water_temperature,salt,wind_speed,Density,sigma_t,DO,Chl-a
StartTime=2021/4/7  9:12:40,11.2,1.5,9.2,10.121,31.605,2,1024.282,24.282,10.918,0.4
StartTime=2021/4/12  9:30:39,16.5,2,12.2,10.047,33.252,2.8,1025.579,25.579,10.982,0.34
StartTime=2021/4/20  8:57:40,21.9,4.7,12.7,9.793,33.572,2.6,1025.872,25.872,8.942,0.49
StartTime=2021/4/27  9:14:56,12.8,-0.1,12.3,10.053,33.567,2.5,1025.824,25.824,10.728,0.38
StartTime=2021/5/6  9:16:01,23.6,9.8,11.8,12.664,31.698,2.1,1023.901,23.901,10.534,0.44
StartTime=2021/5/12  9:25:36,17.1,5.7,12.7,12.641,33.48,2.2,1025.286,25.286,10.562,0.26
StartTime=2021/5/19  9:32:57,17.7,13.4,0,16.665,32.398,1.3,1023.596,23.596,9.278,0.87
StartTime=2021/5/24  9:07:56,23.6,11.9,8.5,16.297,31.681,1.5,1023.129,23.129,9.326,1.01
StartTime=2021/05/26 10:33:04,21.9,9.9,10.2,14.758,33.002,2.1,1024.484,24.484,9.889,0.28
StartTime=2021/05/31 09:01:37,23,11,11.7,14.636,33.116,2.3,1024.598,24.598,9.959,0.41
StartTime=2021/06/07 09:06:04,27.5,15.7,5.3,18.743,26.339,1.5,1018.477,18.477,7.785,1.12
StartTime=2021/06/14 09:13:16,24.3,16.1,10.2,19.888,31.037,1.8,1021.771,21.771,9.914,1.8
StartTime=2021/06/21 08:57:28,21.5,13,10.8,19.026,31.855,1.9,1022.613,22.613,8.725,0.74
StartTime=2021/06/28 09:01:08,25.6,17.5,11.9,21.067,32.61,2.2,1022.657,22.657,9.004,0.65
StartTime=2021/07/05 08:57:56,24.6,16.4,0.8,20.311,29.836,1,1020.748,20.748,9.065,2.85
StartTime=2021/07/12 09:15:20,26.3,19.7,2.8,19.428,33.122,1.4,1023.478,23.478,8.984,1.46
StartTime=2021/07/19 08:57:34,30,20.9,13.7,25.648,29.559,2.1,1019.042,19.042,9.534,1.06
StartTime=2021/07/26 09:01:40,28.4,20.8,9,25.454,32.071,2.1,1020.992,20.992,8.906,1.04
StartTime=2021/08/02 09:06:30,30,23.4,6.8,26.01,29.864,1.7,1019.16,19.16,8.621,1.68
StartTime=2021/08/16 09:17:35,21.3,15.5,0.8,20.522,27.88,1.5,1019.208,19.208,9.771,7.7
StartTime=2021/08/23 09:04:04,29.6,19.9,5.2,23.744,28.596,1.3,1018.875,18.875,8.843,4.18
StartTime=2021/08/30 09:01:49,28.5,20.1,1,23.506,30.52,1.6,1020.396,20.396,8.751,2.33
StartTime=2021/09/06 09:03:22,21.8,13.2,0.7,20.772,32.286,1.8,1022.49,22.49,8.455,1.83
StartTime=2021/09/13 09:02:01,25.7,17.1,10.1,21.888,33.012,2.4,1022.739,22.739,8.231,1.04
StartTime=2021/09/27 09:08:40,21.9,12.2,3.7,20.446,31.075,1.9,1021.655,21.655,8.868,2.98
StartTime=2020/04/07 09:27:17,14.5,2.9,5.9,8.754,33.612,2,1026.07,26.07,10.805,0.25
StartTime=2020/04/08 12:38:16,14.3,1.2,11.1,9.641,33.195,2.2,1025.602,25.602,11.364,0.21
StartTime=2020/04/15 09:30:49,18.4,3.8,9.4,9.509,33.241,1.7,1025.66,25.66,9.756,0.3
StartTime=2020/04/21 10:39:19,15.5,7.7,2.2,10.381,25.993,2.2,1019.871,19.871,9.473,0.93
StartTime=2020/04/27 08:58:38,15,3.9,11.2,10.409,33.119,2.1,1025.414,25.414,9.701,0.33
StartTime=2020/05/07 12:06:34,15.5,4.8,6.3,13.315,32.422,2.2,1024.334,24.334,10.027,0.79
StartTime=2020/05/13 09:34:00,24,7.8,11.1,14.832,33.39,2.4,1024.767,24.767,9.982,0.45
StartTime=2020/05/18 11:34:20,14.4,11.1,0,13.982,33.569,1.4,1025.085,25.085,10.209,0.94
StartTime=2020/05/25 08:59:51,26.8,14.6,6.9,14.846,31.441,1.8,1023.262,23.262,9.799,0.96
StartTime=2020/06/01 09:00:42,22.1,12.7,8.4,17.12,32.808,2.6,1023.804,23.804,9.802,0.51
StartTime=2020/06/08 09:13:34,22.7,13.2,9,19.137,31.95,1.9,1022.658,22.658,9.383,0.71
StartTime=2020/06/10 09:31:59,30.4,13.5,13.4,19.894,32.75,1.8,1023.074,23.074,9.069,0.52
StartTime=2020/06/15 10:45:03,25.4,16.7,11.5,19.237,32.621,1.8,1023.144,23.144,8.987,0.91
StartTime=2020/06/22 10:31:24,21.3,16.1,0,19.81,32.568,1.6,1022.957,22.957,8.66,0.87
StartTime=2020/06/29 09:11:03,21,15.8,3.3,18.596,32.586,1.6,1023.278,23.278,8.689,2.22
StartTime=2020/07/06 08:53:44,22.3,17.9,0,19.923,29.679,1.1,1020.728,20.728,8.993,2.49
StartTime=2020/07/13 09:00:43,18.5,15.7,0,18.912,20.985,1.3,1014.365,14.365,10.063,8.11
StartTime=2020/07/21 09:27:13,23.9,18.6,3.7,18.845,31.75,1.5,1022.578,22.578,9.184,0.58
StartTime=2020/07/27 09:15:18,27.4,18.9,3.5,21.614,25.717,1.5,1017.283,17.283,10.945,3.95
StartTime=2020/08/03 09:22:53,26.4,16.2,9.4,23.011,26.623,1.6,1017.591,17.591,10.149,2.59
StartTime=2020/08/11 08:54:44,34.3,21.8,13,24.617,25.696,1.6,1016.439,16.439,9.923,4.46
StartTime=2020/08/17 08:56:34,26.7,22.2,0.3,24.531,30.969,1.2,1020.438,20.438,8.363,2.28
StartTime=2020/08/24 09:06:34,28.9,21.4,9.1,25.717,31.119,1.8,1020.195,20.195,9.074,2.5
StartTime=2020/09/01 09:28:00,23.7,18.8,0.2,24.461,31.008,2.5,1020.488,20.488,7.361,4.69
